Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.690600,13.757800,13.594500,13.623400,5.838457,8244258
2000-01-04,13.450400,13.536900,13.219800,13.267900,5.686106,8522096
2000-01-05,13.143000,13.210200,12.912400,12.970000,5.558434,12159826
2000-01-06,null,null,null,null,null,null
2000-01-07,13.248700,13.248700,12.998900,13.133400,5.628463,62261945
2000-01-10,13.277500,13.277500,12.902800,12.922000,5.537865,58740351
2000-01-11,12.874000,12.893200,12.537700,12.662600,5.426697,6761292
2000-01-12,12.643400,12.643400,12.393600,12.518500,5.410789,8266755
2000-01-13,12.489700,12.537700,12.105400,12.211100,5.277924,9372670
2000-01-14,12.297500,12.480100,12.230300,12.451200,5.381699,8538334
2000-01-17,12.537700,12.537700,12.307100,12.335900,5.331865,6825078
2000-01-18,12.307100,12.326400,11.942000,12.076500,5.219747,9698973
2000-01-19,11.855600,12.057300,11.817200,12.057300,5.211446,13027456
2000-01-20,12.105400,12.163000,11.922800,12.038100,5.203148,9459286
2000-01-21,11.942000,12.009300,11.749900,11.788300,5.095178,6786147
2000-01-24,12.047700,12.047700,11.817200,11.846000,5.120120,5863878
2000-01-25,11.836400,12.259100,11.797900,12.105400,5.232240,9429700
2000-01-26,12.297500,12.537700,12.153400,12.480100,5.394191,9120798
2000-01-27,12.614600,13.114200,12.547300,12.970000,5.605940,13662089
2000-01-28,13.171800,13.171800,12.585700,12.922000,5.585194,16119882
2000-01-31,12.931600,12.979600,12.585700,12.729900,5.502160,9868382
2000-02-01,12.902800,13.008500,12.691400,12.902800,5.576894,9530744
2000-02-02,12.931600,12.931600,12.672200,12.864400,5.560294,7648463
2000-02-03,12.893200,13.114200,12.691400,12.970000,5.605940,7766488
2000-02-04,13.114200,13.114200,12.729900,12.777900,5.522908,10516943
2000-02-07,12.806700,12.854700,12.508900,12.537700,5.419088,8135157
2000-02-08,12.528100,13.018100,12.384000,13.018100,5.626729,13714517
2000-02-09,13.066100,13.066100,12.653000,12.701000,5.489670,9070279
2000-02-10,12.585700,12.681800,12.489700,12.508900,5.406641,8404877
2000-02-11,12.528100,13.623400,12.297500,13.469600,5.821876,24338357
2000-02-14,14.411200,16.178900,14.026900,15.035600,6.498741,59647471
2000-02-15,15.275800,15.275800,14.593700,14.651400,6.332678,23093519
2000-02-16,14.699400,14.939600,14.564900,14.709000,6.357576,19374516
2000-02-17,14.574500,14.843500,14.574500,14.709000,6.357576,10019217
2000-02-18,14.660900,14.795500,14.526500,14.728200,6.365874,13772503
2000-02-21,14.411200,14.699400,14.411200,14.641700,6.328485,10726791
2000-02-22,14.411200,14.603300,14.411200,14.440000,6.241307,14620960
2000-02-23,14.449600,14.872300,14.440000,14.833900,6.411561,14342437
2000-02-24,14.891500,15.295000,14.795500,15.054900,6.507082,17306015
2000-02-25,15.083700,15.256600,15.026000,15.083700,6.519529,10362673
